Sector,Year,FDI(₹ Crores),FDI(US$ Million)
AGRICULTURE SERVICES,2006-07,56.69,12.53
"DIAMOND,GOLD ORNAMENTS",2006-07,280.35,61.97
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2006-07,28.05,6.2
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2006-07,90.66,20.04
COIR,2006-07,0.18,0.04
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2006-07,289.81,64.06
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2006-07,6301.71,1392.95
MISCELLANEOUS INDUSTRIES,2006-07,1379.23,304.87
METALLURGICAL INDUSTRIES,2007-08,4733.57,1175.75
MINING,2007-08,1788.99,444.36
POWER,2007-08,3980.43,988.68
NON-CONVENTIONAL ENERGY,2007-08,236.81,58.82
COAL PRODUCTION,2007-08,56.69,14.08
PETROLEUM & NATURAL GAS,2007-08,5656.69,1405.04
BOILERS AND STEAM GENERATING PLANTS,2007-08,6.08,1.51
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2007-08,163.17,40.53
ELECTRICAL EQUIPMENTS,2007-08,2631.96,653.74
COMPUTER SOFTWARE & HARDWARE,2007-08,5564.94,1382.25
ELECTRONICS,2007-08,547.66,136.03
TELECOMMUNICATIONS,2007-08,5075.58,1260.7
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2007-08,1161.46,288.49
AUTOMOBILE INDUSTRY,2007-08,2641.46,656.1
AIR TRANSPORT (INCLUDING AIR FREIGHT),2007-08,398.9,99.08
SEA TRANSPORT,2007-08,516.78,128.36
PORTS,2007-08,3696.59,918.18
RAILWAY RELATED COMPONENTS,2007-08,49.96,12.41
INDUSTRIAL MACHINERY,2007-08,481.39,119.57
MACHINE TOOLS,2007-08,228.96,56.87
AGRICULTURAL MACHINERY,2007-08,27.05,6.72
EARTH-MOVING MACHINERY,2007-08,273.53,67.94
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2007-08,850.09,211.15
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2007-08,39.58,9.83
MEDICAL AND SURGICAL APPLIANCES,2007-08,53.02,13.17
INDUSTRIAL INSTRUMENTS,2007-08,8.98,2.23
SCIENTIFIC INSTRUMENTS,2007-08,0.0,0.0
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2007-08,5.11,1.27
FERTILIZERS,2007-08,7.85,1.95
CHEMICALS (OTHER THAN FERTILIZERS),2007-08,940.88,233.7
PHOTOGRAPHIC RAW FILM AND PAPER,2007-08,220.87,54.86
DYE-STUFFS,2007-08,22.18,5.51
DRUGS & PHARMACEUTICALS,2007-08,1370.25,340.35
"TEXTILES (INCLUDING DYED,PRINTED)",2007-08,746.42,185.4
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2007-08,125.77,31.24
SUGAR,2007-08,40.54,10.07
FERMENTATION INDUSTRIES,2007-08,1087.22,270.05
FOOD PROCESSING INDUSTRIES,2007-08,282.5,70.17
VEGETABLE OILS AND VANASPATI,2007-08,6.16,1.53
"SOAPS, COSMETICS & TOILET PREPARATIONS",2007-08,25.69,6.38
RUBBER GOODS,2007-08,60.87,15.12
"LEATHER,LEATHER GOODS AND PICKERS",2007-08,30.03,7.46
GLUE AND GELATIN,2007-08,9.18,2.28
GLASS,2007-08,44.45,11.04
CERAMICS,2007-08,463.43,115.11
CEMENT AND GYPSUM PRODUCTS,2007-08,68.0,16.89
TIMBER PRODUCTS,2007-08,1.57,0.39
DEFENCE INDUSTRIES,2007-08,0.0,0.0
CONSULTANCY SERVICES,2007-08,939.35,233.32
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2007-08,28126.32,6986.17
HOSPITAL & DIAGNOSTIC CENTRES,2007-08,973.33,241.76
EDUCATION,2007-08,175.49,43.59
HOTEL & TOURISM,2007-08,1696.84,421.47
TRADING,2007-08,1389.05,345.02
RETAIL TRADING,2007-08,5.11,1.27
AGRICULTURE SERVICES,2007-08,234.03,58.13
"DIAMOND,GOLD ORNAMENTS",2007-08,238.14,59.15
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2007-08,76.25,18.94
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2007-08,143.08,35.54
COIR,2007-08,0.04,0.01
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2007-08,736.44,182.92
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2007-08,15650.39,3887.33
MISCELLANEOUS INDUSTRIES,2007-08,2127.42,528.42
METALLURGICAL INDUSTRIES,2008-09,4414.76,959.94
MINING,2008-09,157.1,34.16
POWER,2008-09,4174.33,907.66
NON-CONVENTIONAL ENERGY,2008-09,578.92,125.88
COAL PRODUCTION,2008-09,1.01,0.22
PETROLEUM & NATURAL GAS,2008-09,1606.38,349.29
BOILERS AND STEAM GENERATING PLANTS,2008-09,0.0,0.0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2008-09,344.37,74.88
ELECTRICAL EQUIPMENTS,2008-09,1919.39,417.35
COMPUTER SOFTWARE & HARDWARE,2008-09,7097.82,1543.34
ELECTRONICS,2008-09,678.4,147.51
TELECOMMUNICATIONS,2008-09,11721.15,2548.63
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2008-09,3380.45,735.04
AUTOMOBILE INDUSTRY,2008-09,5288.99,1150.03
AIR TRANSPORT (INCLUDING AIR FREIGHT),2008-09,282.24,61.37
SEA TRANSPORT,2008-09,230.92,50.21
PORTS,2008-09,2268.0,493.15
RAILWAY RELATED COMPONENTS,2008-09,82.83,18.01
INDUSTRIAL MACHINERY,2008-09,508.37,110.54
MACHINE TOOLS,2008-09,209.99,45.66
AGRICULTURAL MACHINERY,2008-09,25.62,5.57
EARTH-MOVING MACHINERY,2008-09,10.44,2.27
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2008-09,654.48,142.31
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2008-09,58.09,12.63
MEDICAL AND SURGICAL APPLIANCES,2008-09,346.86,75.42
INDUSTRIAL INSTRUMENTS,2008-09,80.39,17.48
SCIENTIFIC INSTRUMENTS,2008-09,3.82,0.83
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2008-09,0.0,0.0
FERTILIZERS,2008-09,615.12,133.75
CHEMICALS (OTHER THAN FERTILIZERS),2008-09,2994.96,651.22
PHOTOGRAPHIC RAW FILM AND PAPER,2008-09,4.83,1.05
DYE-STUFFS,2008-09,5.38,1.17
DRUGS & PHARMACEUTICALS,2008-09,19530.85,4246.76
"TEXTILES (INCLUDING DYED,PRINTED)",2008-09,724.43,157.52
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2008-09,1253.27,272.51
SUGAR,2008-09,23.04,5.01
FERMENTATION INDUSTRIES,2008-09,665.48,144.7
FOOD PROCESSING INDUSTRIES,2008-09,472.36,102.71
VEGETABLE OILS AND VANASPATI,2008-09,197.21,42.88
"SOAPS, COSMETICS & TOILET PREPARATIONS",2008-09,101.32,22.03
RUBBER GOODS,2008-09,390.36,84.88
"LEATHER,LEATHER GOODS AND PICKERS",2008-09,15.27,3.32
GLUE AND GELATIN,2008-09,0.0,0.0
GLASS,2008-09,106.51,23.16
CERAMICS,2008-09,912.58,198.43
CEMENT AND GYPSUM PRODUCTS,2008-09,3333.36,724.8
TIMBER PRODUCTS,2008-09,51.83,11.27
DEFENCE INDUSTRIES,2008-09,0.0,0.0
CONSULTANCY SERVICES,2008-09,1180.06,256.59
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2008-09,28437.87,6183.49
HOSPITAL & DIAGNOSTIC CENTRES,2008-09,1102.43,239.71
EDUCATION,2008-09,986.58,214.52
HOTEL & TOURISM,2008-09,2133.57,463.92
TRADING,2008-09,2960.1,643.64
RETAIL TRADING,2008-09,0.41,0.09
AGRICULTURE SERVICES,2008-09,24.6,5.35
"DIAMOND,GOLD ORNAMENTS",2008-09,384.02,83.5
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2008-09,170.53,37.08
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2008-09,145.37,31.61
COIR,2008-09,0.0,0.0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2008-09,794.25,172.7
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2008-09,21419.89,4657.51
MISCELLANEOUS INDUSTRIES,2008-09,7127.07,1549.7
METALLURGICAL INDUSTRIES,2009-10,1991.91,419.88
MINING,2009-10,827.35,174.4
POWER,2009-10,6033.37,1271.79
NON-CONVENTIONAL ENERGY,2009-10,2953.23,622.52
COAL PRODUCTION,2009-10,0.0,0.0
PETROLEUM & NATURAL GAS,2009-10,1259.67,265.53
BOILERS AND STEAM GENERATING PLANTS,2009-10,18.79,3.96
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2009-10,187.39,39.5
ELECTRICAL EQUIPMENTS,2009-10,3454.91,728.27
COMPUTER SOFTWARE & HARDWARE,2009-10,4136.1,871.86
ELECTRONICS,2009-10,247.35,52.14
TELECOMMUNICATIONS,2009-10,12046.25,2539.26
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2009-10,2328.5,490.83
AUTOMOBILE INDUSTRY,2009-10,5864.96,1236.29
AIR TRANSPORT (INCLUDING AIR FREIGHT),2009-10,112.48,23.71
SEA TRANSPORT,2009-10,1351.33,284.85
PORTS,2009-10,310.31,65.41
RAILWAY RELATED COMPONENTS,2009-10,163.34,34.43
INDUSTRIAL MACHINERY,2009-10,1621.88,341.88
MACHINE TOOLS,2009-10,634.89,133.83
AGRICULTURAL MACHINERY,2009-10,8.92,1.88
EARTH-MOVING MACHINERY,2009-10,74.1,15.62
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2009-10,709.65,149.59
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2009-10,374.68,78.98
MEDICAL AND SURGICAL APPLIANCES,2009-10,793.91,167.35
INDUSTRIAL INSTRUMENTS,2009-10,36.1,7.61
SCIENTIFIC INSTRUMENTS,2009-10,0.0,0.0
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2009-10,0.0,0.0
FERTILIZERS,2009-10,38.9,8.2
CHEMICALS (OTHER THAN FERTILIZERS),2009-10,1736.02,365.94
PHOTOGRAPHIC RAW FILM AND PAPER,2009-10,0.0,0.0
DYE-STUFFS,2009-10,19.07,4.02
DRUGS & PHARMACEUTICALS,2009-10,1010.85,213.08
"TEXTILES (INCLUDING DYED,PRINTED)",2009-10,712.88,150.27
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2009-10,77.9,16.42
SUGAR,2009-10,0.47,0.1
FERMENTATION INDUSTRIES,2009-10,531.42,112.02
FOOD PROCESSING INDUSTRIES,2009-10,1323.05,278.89
VEGETABLE OILS AND VANASPATI,2009-10,330.85,69.74
"SOAPS, COSMETICS & TOILET PREPARATIONS",2009-10,116.61,24.58
RUBBER GOODS,2009-10,114.43,24.12
"LEATHER,LEATHER GOODS AND PICKERS",2009-10,24.0,5.06
GLUE AND GELATIN,2009-10,1.28,0.27
GLASS,2009-10,13.43,2.83
CERAMICS,2009-10,34.2,7.21
CEMENT AND GYPSUM PRODUCTS,2009-10,160.35,33.8
TIMBER PRODUCTS,2009-10,31.03,6.54
DEFENCE INDUSTRIES,2009-10,0.0,0.0
CONSULTANCY SERVICES,2009-10,1619.17,341.31
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2009-10,19803.97,4174.53
HOSPITAL & DIAGNOSTIC CENTRES,2009-10,643.14,135.57
EDUCATION,2009-10,300.53,63.35
HOTEL & TOURISM,2009-10,3572.33,753.02
TRADING,2009-10,3500.83,737.95
RETAIL TRADING,2009-10,65.14,13.73
AGRICULTURE SERVICES,2009-10,5798.21,1222.22
"DIAMOND,GOLD ORNAMENTS",2009-10,147.44,31.08
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2009-10,38.66,8.15
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2009-10,334.5,70.51
COIR,2009-10,1.19,0.25
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2009-10,1539.71,324.56
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2009-10,25931.32,5466.13
MISCELLANEOUS INDUSTRIES,2009-10,5444.02,1147.56
METALLURGICAL INDUSTRIES,2010-11,5003.13,1098.14
MINING,2010-11,362.25,79.51
POWER,2010-11,5794.18,1271.77
NON-CONVENTIONAL ENERGY,2010-11,976.81,214.4
COAL PRODUCTION,2010-11,0.0,0.0
PETROLEUM & NATURAL GAS,2010-11,2535.1,556.43
BOILERS AND STEAM GENERATING PLANTS,2010-11,2.87,0.63
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2010-11,758.3,166.44
ELECTRICAL EQUIPMENTS,2010-11,701.17,153.9
COMPUTER SOFTWARE & HARDWARE,2010-11,3552.81,779.81
ELECTRONICS,2010-11,272.08,59.72
TELECOMMUNICATIONS,2010-11,7583.46,1664.5
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2010-11,1877.57,412.11
AUTOMOBILE INDUSTRY,2010-11,5920.11,1299.41
AIR TRANSPORT (INCLUDING AIR FREIGHT),2010-11,622.35,136.6
SEA TRANSPORT,2010-11,1369.12,300.51
PORTS,2010-11,49.75,10.92
RAILWAY RELATED COMPONENTS,2010-11,321.93,70.66
INDUSTRIAL MACHINERY,2010-11,2131.84,467.92
MACHINE TOOLS,2010-11,52.99,11.63
AGRICULTURAL MACHINERY,2010-11,2.23,0.49
EARTH-MOVING MACHINERY,2010-11,8.06,1.77
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2010-11,495.1,108.67
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2010-11,114.45,25.12
MEDICAL AND SURGICAL APPLIANCES,2010-11,146.79,32.22
INDUSTRIAL INSTRUMENTS,2010-11,116.09,25.48
SCIENTIFIC INSTRUMENTS,2010-11,11.34,2.49
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2010-11,0.0,0.0
FERTILIZERS,2010-11,82.83,18.18
CHEMICALS (OTHER THAN FERTILIZERS),2010-11,10726.65,2354.4
PHOTOGRAPHIC RAW FILM AND PAPER,2010-11,3.69,0.81
DYE-STUFFS,2010-11,24.47,5.37
DRUGS & PHARMACEUTICALS,2010-11,953.94,209.38
"TEXTILES (INCLUDING DYED,PRINTED)",2010-11,590.69,129.65
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2010-11,29.75,6.53
SUGAR,2010-11,0.77,0.17
FERMENTATION INDUSTRIES,2010-11,262.93,57.71
FOOD PROCESSING INDUSTRIES,2010-11,859.58,188.67
VEGETABLE OILS AND VANASPATI,2010-11,264.57,58.07
"SOAPS, COSMETICS & TOILET PREPARATIONS",2010-11,468.81,102.9
RUBBER GOODS,2010-11,78.41,17.21
"LEATHER,LEATHER GOODS AND PICKERS",2010-11,42.19,9.26
GLUE AND GELATIN,2010-11,0.05,0.01
GLASS,2010-11,34.63,7.6
CERAMICS,2010-11,54.67,12.0
CEMENT AND GYPSUM PRODUCTS,2010-11,2905.27,637.68
TIMBER PRODUCTS,2010-11,7.2,1.58
DEFENCE INDUSTRIES,2010-11,0.0,0.0
CONSULTANCY SERVICES,2010-11,1252.17,274.84
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2010-11,15016.99,3296.09
HOSPITAL & DIAGNOSTIC CENTRES,2010-11,1166.34,256.0
EDUCATION,2010-11,172.85,37.94
HOTEL & TOURISM,2010-11,1403.48,308.05
TRADING,2010-11,2269.07,498.04
RETAIL TRADING,2010-11,119.69,26.27
AGRICULTURE SERVICES,2010-11,200.01,43.9
"DIAMOND,GOLD ORNAMENTS",2010-11,89.25,19.59
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2010-11,14.21,3.12
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2010-11,166.89,36.63
COIR,2010-11,0.46,0.1
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2010-11,3075.62,675.07
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2010-11,7576.76,1663.03
MISCELLANEOUS INDUSTRIES,2010-11,6724.52,1475.97
METALLURGICAL INDUSTRIES,2011-12,8559.18,1786.14
MINING,2011-12,683.58,142.65
POWER,2011-12,7918.2,1652.38
NON-CONVENTIONAL ENERGY,2011-12,2166.8,452.17
COAL PRODUCTION,2011-12,0.0,0.0
PETROLEUM & NATURAL GAS,2011-12,9727.66,2029.98
BOILERS AND STEAM GENERATING PLANTS,2011-12,152.34,31.79
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2011-12,1503.49,313.75
ELECTRICAL EQUIPMENTS,2011-12,2714.14,566.39
COMPUTER SOFTWARE & HARDWARE,2011-12,3816.11,796.35
ELECTRONICS,2011-12,931.61,194.41
TELECOMMUNICATIONS,2011-12,9570.77,1997.24
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2011-12,3239.2,675.96
AUTOMOBILE INDUSTRY,2011-12,4422.97,922.99
AIR TRANSPORT (INCLUDING AIR FREIGHT),2011-12,149.61,31.22
SEA TRANSPORT,2011-12,619.89,129.36
PORTS,2011-12,0.0,0.0
RAILWAY RELATED COMPONENTS,2011-12,202.56,42.27
INDUSTRIAL MACHINERY,2011-12,2974.2,620.66
MACHINE TOOLS,2011-12,612.75,127.87
AGRICULTURAL MACHINERY,2011-12,13.27,2.77
EARTH-MOVING MACHINERY,2011-12,78.59,16.4
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2011-12,6207.27,1295.34
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2011-12,139.16,29.04
MEDICAL AND SURGICAL APPLIANCES,2011-12,678.6,141.61
INDUSTRIAL INSTRUMENTS,2011-12,19.12,3.99
SCIENTIFIC INSTRUMENTS,2011-12,33.93,7.08
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2011-12,0.0,0.0
FERTILIZERS,2011-12,156.22,32.6
CHEMICALS (OTHER THAN FERTILIZERS),2011-12,19363.08,4040.71
PHOTOGRAPHIC RAW FILM AND PAPER,2011-12,0.0,0.0
DYE-STUFFS,2011-12,2.78,0.58
DRUGS & PHARMACEUTICALS,2011-12,15489.09,3232.28
"TEXTILES (INCLUDING DYED,PRINTED)",2011-12,786.8,164.19
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2011-12,1952.02,407.35
SUGAR,2011-12,21.28,4.44
FERMENTATION INDUSTRIES,2011-12,334.0,69.7
FOOD PROCESSING INDUSTRIES,2011-12,815.65,170.21
VEGETABLE OILS AND VANASPATI,2011-12,311.58,65.02
"SOAPS, COSMETICS & TOILET PREPARATIONS",2011-12,1064.21,222.08
RUBBER GOODS,2011-12,897.88,187.37
"LEATHER,LEATHER GOODS AND PICKERS",2011-12,39.77,8.3
GLUE AND GELATIN,2011-12,27.99,5.84
GLASS,2011-12,154.4,32.22
CERAMICS,2011-12,47.3,9.87
CEMENT AND GYPSUM PRODUCTS,2011-12,1283.78,267.9
TIMBER PRODUCTS,2011-12,141.84,29.6
DEFENCE INDUSTRIES,2011-12,17.54,3.66
CONSULTANCY SERVICES,2011-12,1389.15,289.89
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2011-12,24994.98,5215.98
HOSPITAL & DIAGNOSTIC CENTRES,2011-12,1487.58,310.43
EDUCATION,2011-12,506.13,105.62
HOTEL & TOURISM,2011-12,4757.79,992.86
TRADING,2011-12,3505.59,731.55
RETAIL TRADING,2011-12,151.91,31.7
AGRICULTURE SERVICES,2011-12,234.9,49.02
"DIAMOND,GOLD ORNAMENTS",2011-12,173.95,36.3
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2011-12,25.49,5.32
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2011-12,227.09,47.39
COIR,2011-12,2.64,0.55
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2011-12,1851.05,386.28
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2011-12,15050.62,3140.78
MISCELLANEOUS INDUSTRIES,2011-12,3897.72,813.38
METALLURGICAL INDUSTRIES,2012-13,7976.29,1466.23
MINING,2012-13,314.92,57.89
POWER,2012-13,2914.1,535.68
NON-CONVENTIONAL ENERGY,2012-13,6019.47,1106.52
COAL PRODUCTION,2012-13,0.0,0.0
PETROLEUM & NATURAL GAS,2012-13,1168.51,214.8
BOILERS AND STEAM GENERATING PLANTS,2012-13,109.07,20.05
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2012-13,1004.22,184.6
ELECTRICAL EQUIPMENTS,2012-13,1065.53,195.87
COMPUTER SOFTWARE & HARDWARE,2012-13,2643.62,485.96
ELECTRONICS,2012-13,208.03,38.24
TELECOMMUNICATIONS,2012-13,1653.05,303.87
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2012-13,2197.98,404.04
AUTOMOBILE INDUSTRY,2012-13,8362.8,1537.28
AIR TRANSPORT (INCLUDING AIR FREIGHT),2012-13,86.44,15.89
SEA TRANSPORT,2012-13,351.53,64.62
PORTS,2012-13,0.0,0.0
RAILWAY RELATED COMPONENTS,2012-13,162.38,29.85
INDUSTRIAL MACHINERY,2012-13,2740.84,503.83
MACHINE TOOLS,2012-13,551.56,101.39
AGRICULTURAL MACHINERY,2012-13,519.03,95.41
EARTH-MOVING MACHINERY,2012-13,27.74,5.1
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2012-13,486.61,89.45
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2012-13,132.36,24.33
MEDICAL AND SURGICAL APPLIANCES,2012-13,451.63,83.02
INDUSTRIAL INSTRUMENTS,2012-13,3.16,0.58
SCIENTIFIC INSTRUMENTS,2012-13,398.64,73.28
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2012-13,36.5,6.71
FERTILIZERS,2012-13,231.47,42.55
CHEMICALS (OTHER THAN FERTILIZERS),2012-13,1589.35,292.16
PHOTOGRAPHIC RAW FILM AND PAPER,2012-13,0.0,0.0
DYE-STUFFS,2012-13,0.0,0.0
DRUGS & PHARMACEUTICALS,2012-13,6111.62,1123.46
"TEXTILES (INCLUDING DYED,PRINTED)",2012-13,565.16,103.89
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2012-13,27.69,5.09
SUGAR,2012-13,66.69,12.26
FERMENTATION INDUSTRIES,2012-13,583.22,107.21
FOOD PROCESSING INDUSTRIES,2012-13,2183.94,401.46
VEGETABLE OILS AND VANASPATI,2012-13,589.64,108.39
"SOAPS, COSMETICS & TOILET PREPARATIONS",2012-13,870.78,160.07
RUBBER GOODS,2012-13,3493.46,642.18
"LEATHER,LEATHER GOODS AND PICKERS",2012-13,254.05,46.7
GLUE AND GELATIN,2012-13,0.0,0.0
GLASS,2012-13,1137.83,209.16
CERAMICS,2012-13,23.56,4.33
CEMENT AND GYPSUM PRODUCTS,2012-13,67.35,12.38
TIMBER PRODUCTS,2012-13,158.68,29.17
DEFENCE INDUSTRIES,2012-13,2.23,0.41
CONSULTANCY SERVICES,2012-13,774.22,142.32
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2012-13,26291.41,4832.98
HOSPITAL & DIAGNOSTIC CENTRES,2012-13,1397.32,256.86
EDUCATION,2012-13,936.77,172.2
HOTEL & TOURISM,2012-13,17729.23,3259.05
TRADING,2012-13,3904.83,717.8
RETAIL TRADING,2012-13,121.37,22.31
AGRICULTURE SERVICES,2012-13,878.4,161.47
"DIAMOND,GOLD ORNAMENTS",2012-13,286.2,52.61
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2012-13,1.47,0.27
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2012-13,78.01,14.34
COIR,2012-13,0.82,0.15
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2012-13,1544.36,283.89
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2012-13,7248.75,1332.49
MISCELLANEOUS INDUSTRIES,2012-13,1248.43,229.49
METALLURGICAL INDUSTRIES,2013-14,3434.16,567.63
MINING,2013-14,77.02,12.73
POWER,2013-14,6449.78,1066.08
NON-CONVENTIONAL ENERGY,2013-14,2506.21,414.25
COAL PRODUCTION,2013-14,17.91,2.96
PETROLEUM & NATURAL GAS,2013-14,678.99,112.23
BOILERS AND STEAM GENERATING PLANTS,2013-14,1.03,0.17
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2013-14,1287.32,212.78
ELECTRICAL EQUIPMENTS,2013-14,812.58,134.31
COMPUTER SOFTWARE & HARDWARE,2013-14,6813.93,1126.27
ELECTRONICS,2013-14,802.11,132.58
TELECOMMUNICATIONS,2013-14,7907.05,1306.95
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2013-14,2592.55,428.52
AUTOMOBILE INDUSTRY,2013-14,9179.54,1517.28
AIR TRANSPORT (INCLUDING AIR FREIGHT),2013-14,278.0,45.95
SEA TRANSPORT,2013-14,123.96,20.49
PORTS,2013-14,1.88,0.31
RAILWAY RELATED COMPONENTS,2013-14,1433.43,236.93
INDUSTRIAL MACHINERY,2013-14,2888.15,477.38
MACHINE TOOLS,2013-14,390.35,64.52
AGRICULTURAL MACHINERY,2013-14,295.12,48.78
EARTH-MOVING MACHINERY,2013-14,208.36,34.44
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2013-14,1743.19,288.13
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2013-14,127.84,21.13
MEDICAL AND SURGICAL APPLIANCES,2013-14,1049.55,173.48
INDUSTRIAL INSTRUMENTS,2013-14,3.21,0.53
SCIENTIFIC INSTRUMENTS,2013-14,272.73,45.08
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2013-14,0.0,0.0
FERTILIZERS,2013-14,124.93,20.65
CHEMICALS (OTHER THAN FERTILIZERS),2013-14,4759.9,786.76
PHOTOGRAPHIC RAW FILM AND PAPER,2013-14,0.0,0.0
DYE-STUFFS,2013-14,0.0,0.0
DRUGS & PHARMACEUTICALS,2013-14,7740.01,1279.34
"TEXTILES (INCLUDING DYED,PRINTED)",2013-14,1203.1,198.86
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2013-14,162.5,26.86
SUGAR,2013-14,18.63,3.08
FERMENTATION INDUSTRIES,2013-14,4928.21,814.58
FOOD PROCESSING INDUSTRIES,2013-14,24096.48,3982.89
VEGETABLE OILS AND VANASPATI,2013-14,130.38,21.55
"SOAPS, COSMETICS & TOILET PREPARATIONS",2013-14,656.06,108.44
RUBBER GOODS,2013-14,2241.77,370.54
"LEATHER,LEATHER GOODS AND PICKERS",2013-14,37.15,6.14
GLUE AND GELATIN,2013-14,5.87,0.97
GLASS,2013-14,260.69,43.09
